,Date,Price,Open,High,Low,Change %
347,2009-09-01,1.4221,1.4332,1.4379,1.4177,-0.77%
348,2009-08-31,1.4331,1.4306,1.4369,1.4255,0.22%
349,2009-08-28,1.4299,1.4346,1.4391,1.4282,-0.36%
350,2009-08-27,1.4351,1.4244,1.4405,1.4218,0.71%
351,2009-08-26,1.425,1.4303,1.4351,1.4206,-0.34%
352,2009-08-25,1.4298,1.4299,1.4364,1.4254,-0.03%
353,2009-08-24,1.4303,1.4344,1.4362,1.4281,-0.14%
354,2009-08-21,1.4323,1.4249,1.4378,1.421,0.51%
355,2009-08-20,1.425,1.4234,1.4278,1.4201,0.10%
356,2009-08-19,1.4236,1.4133,1.4269,1.4083,0.73%
357,2009-08-18,1.4133,1.4074,1.4156,1.4067,0.39%
358,2009-08-17,1.4078,1.4186,1.4194,1.4045,-0.89%
359,2009-08-14,1.4205,1.4283,1.4309,1.4161,-0.59%
360,2009-08-13,1.4289,1.4204,1.433,1.4202,0.61%
361,2009-08-12,1.4203,1.4148,1.4248,1.4084,0.40%
362,2009-08-11,1.4146,1.4146,1.4186,1.411,0.00%
363,2009-08-10,1.4146,1.4175,1.4219,1.4103,-0.30%
364,2009-08-07,1.4188,1.4356,1.4417,1.4155,-1.12%
365,2009-08-06,1.4348,1.4416,1.4433,1.4329,-0.44%
366,2009-08-05,1.4412,1.4394,1.4449,1.4357,0.08%
367,2009-08-04,1.44,1.4417,1.4434,1.4367,-0.12%
368,2009-08-03,1.4418,1.4268,1.4447,1.4206,1.18%
369,2009-07-31,1.425,1.4067,1.4282,1.4065,1.25%
370,2009-07-30,1.4074,1.4036,1.4097,1.4007,0.26%
371,2009-07-29,1.4037,1.4174,1.4197,1.4007,-0.99%
372,2009-07-28,1.4177,1.4242,1.4303,1.4127,-0.48%
373,2009-07-27,1.4245,1.4226,1.4301,1.4171,0.28%
374,2009-07-24,1.4205,1.416,1.4256,1.4136,0.32%
375,2009-07-23,1.416,1.4206,1.4292,1.4119,-0.36%
376,2009-07-22,1.4211,1.422,1.426,1.4155,-0.01%
377,2009-07-21,1.4213,1.4223,1.4278,1.4162,-0.11%
378,2009-07-20,1.4228,1.4116,1.4251,1.4109,0.91%
379,2009-07-17,1.4099,1.4145,1.415,1.4063,-0.35%
380,2009-07-16,1.4148,1.4102,1.4167,1.4055,0.30%
381,2009-07-15,1.4106,1.3969,1.4135,1.3962,0.97%
382,2009-07-14,1.397,1.3981,1.4017,1.3911,-0.06%
383,2009-07-13,1.3979,1.3946,1.4002,1.3897,0.33%
384,2009-07-10,1.3933,1.4024,1.4033,1.3879,-0.66%
385,2009-07-09,1.4026,1.3874,1.4074,1.3857,1.07%
386,2009-07-08,1.3877,1.3918,1.3939,1.3831,-0.32%
387,2009-07-07,1.3922,1.3978,1.4053,1.3902,-0.38%
388,2009-07-06,1.3975,1.3956,1.4,1.3876,0.08%
389,2009-07-03,1.3964,1.3938,1.403,1.3937,0.16%
390,2009-07-02,1.3941,1.415,1.4156,1.3929,-1.49%
391,2009-07-01,1.4152,1.4034,1.4203,1.4001,0.83%
392,2009-06-30,1.4036,1.408,1.4154,1.4002,-0.28%
393,2009-06-29,1.4076,1.4063,1.4104,1.3982,0.16%
394,2009-06-26,1.4053,1.3994,1.412,1.3983,0.46%
395,2009-06-25,1.3988,1.3936,1.4016,1.389,0.45%
396,2009-06-24,1.3926,1.4077,1.414,1.3888,-1.09%
397,2009-06-23,1.4079,1.386,1.4108,1.3828,1.57%
398,2009-06-22,1.3862,1.3952,1.3954,1.3826,-0.58%
399,2009-06-19,1.3943,1.3905,1.4014,1.3884,0.27%
400,2009-06-18,1.3906,1.3944,1.4004,1.3872,-0.26%
401,2009-06-17,1.3942,1.3836,1.3986,1.3807,0.77%
402,2009-06-16,1.3836,1.3788,1.3933,1.3748,0.32%
403,2009-06-15,1.3792,1.3989,1.4004,1.3756,-1.65%
404,2009-06-12,1.4024,1.4101,1.4131,1.3937,-0.58%
405,2009-06-11,1.4106,1.3963,1.4179,1.3941,1.00%
406,2009-06-10,1.3967,1.4068,1.4146,1.3914,-0.70%
